Chatswood Coffee Shop,Opens,Closes,Thursday
Starbucks,07:00,22:00,
Hong Kong Kitchen,10:00,22:00,
The Wilkes (Artarmon),06:30,21:00,
Pishon,07:00,20:00,
Q5,08:00,18:00,
The Nest,09:00,17:30,21:00
Three Beans,08:30,17:30,21:00
Chambers,06:30,17:15,20:30
Tea Square Cafe (Mandarin Food Court),08:30,17:30,
Salvage (Artarmon),06:30,16:30,21:00
Flower Child,08:00,16:00,
Apothecary,06:30,16:00,
Elbow Room,06:00,15:30,
Coffeehood,06:30,15:30,
Kleinne Avree,08:00,15:30,
Shuk,08:30,15:30,
Black Seed Espresso,07:00,15:00,
Nico and [sic],08:00,15:00,
Salt and Light,07:00,14:45,
Allure Cafe,06:30,14:30,
Everyday Canteen (Artarmon),07:00,14:00,
Chimichuri,07:00,14:00,
